item_id,order_id,product_id,quantity
303,2501,89,3
304,948,84,5
306,4910,115,3
308,4333,76,4
309,4757,147,3
310,4941,86,5
311,1821,136,1
312,563,62,5
313,1493,10,5
314,1435,143,2
315,3893,74,4
316,513,32,3
317,1743,58,5
318,4194,28,4
319,2288,128,4
322,3081,111,3
323,4814,8,1
324,4879,123,1
325,1917,88,1
326,3356,75,2
328,3751,113,3
329,4017,147,5
330,4247,14,1
331,4783,138,1
332,2452,49,4
334,811,53,2
335,3205,27,2
336,1720,88,5
337,672,126,1
338,2758,6,5
339,4693,43,4
340,385,38,4
341,4794,96,3
342,4412,119,1
345,3886,81,2
346,347,136,5
347,4115,11,1
348,2453,119,1
349,4350,98,2
350,647,90,5
351,2010,62,1
353,2018,86,4
355,2378,11,5
356,3863,117,2
357,3456,97,3
358,2417,22,3
359,3377,27,4
360,2649,53,3
361,2176,96,1
363,1170,54,5
364,2157,70,5
365,1884,55,5
366,368,103,5
367,30,45,3
368,4171,70,3
369,1943,85,4
370,4022,69,1
371,3481,144,1
372,2220,9,2
373,4283,130,5
374,2943,57,2
375,3891,65,1
376,924,90,4
378,324,18,2
379,1906,9,3
381,4053,70,2
382,3042,62,1
383,3955,80,2
384,2270,120,5
386,641,77,2
387,2172,55,1
388,423,79,4
390,1392,39,1
391,1937,107,1
392,1611,140,1
393,3898,8,4
395,1772,23,1
396,1407,28,4
397,4173,20,4
398,983,65,3
399,917,29,5
401,441,38,3
403,2805,70,2
404,140,79,4
405,3887,97,2
406,3447,91,2
407,3853,120,3
408,198,35,3
409,2942,90,1
411,745,111,4
412,2340,138,3
413,3506,132,2
414,3108,3,3
415,2121,60,5
416,4625,9,5
417,1071,77,4
418,4335,52,2
419,2671,72,5
420,3679,11,1
421,4324,71,2
422,80,43,4
425,2390,104,5
427,994,104,1
428,757,39,2
429,1652,149,5
430,367,139,3
431,674,141,3
432,333,132,2
433,973,63,1
434,4288,82,5
435,3026,85,5
436,2532,5,3
437,99,53,2
438,3368,83,5
439,2052,70,4
440,440,141,1
441,4417,130,2
443,3204,136,1
444,2661,120,3
445,1579,41,2
447,4588,142,1
448,3430,46,3
450,4929,15,4
452,736,45,2
453,3500,23,3
455,2119,12,3
457,207,23,1
458,1680,80,2
459,2865,108,4
460,1337,26,2
461,1502,1,4
462,3174,103,2
463,628,114,4
464,3621,70,3
465,660,149,2
466,300,28,3
468,1717,79,4
472,829,127,5
474,1847,74,5
475,531,71,4
476,3320,5,1
477,359,42,3
478,2286,48,1
479,3289,136,2
480,824,130,1
481,512,52,4
482,4852,13,3
483,109,122,2
484,4067,120,5
485,860,100,2
486,2907,14,3
487,2334,120,3
488,78,20,4
489,2767,31,2
490,3635,1,4
491,461,120,4
492,226,132,5
493,1267,52,5
494,3148,126,5
495,2776,11,4
496,869,2,3
497,4498,91,5
498,1391,76,2
499,3238,42,1
500,312,99,4
502,970,94,2
503,450,105,2
504,37,3,3
505,4282,41,2
506,922,57,3
507,2399,57,3
508,3483,20,3
509,384,95,4
510,2988,141,3
511,2008,85,5
512,26,31,3
513,3446,40,5
514,1002,64,3
515,911,20,4
516,807,96,4
517,2797,40,1
519,2398,95,4
521,1668,129,3
522,2160,124,2
523,502,125,2
524,1522,76,3
527,3694,133,1
528,3512,3,4
529,1179,18,2
530,1706,103,2
531,1028,136,5
532,4976,8,5
533,4288,60,3
534,1928,89,5
535,4948,122,4
536,2682,116,3
537,2575,83,1
538,4098,119,3
539,1301,20,1
540,4317,47,4
541,1067,53,2
542,1207,28,4
543,4015,31,1
544,469,41,5
545,2368,142,5
547,4789,46,2
548,4659,4,3
549,3257,20,5
550,586,5,1
551,1590,11,1
552,2386,54,4
553,2291,58,4
555,1822,9,3
556,1281,141,5
557,4954,119,4
558,713,147,4
559,392,145,1
560,3527,116,3
561,3717,142,3
562,4818,96,1
563,4474,1,4
565,847,44,2
567,2290,147,5
569,1375,18,3
570,2715,16,2
571,2324,9,4
572,4542,73,2
573,2012,42,2
575,4411,60,3
576,742,149,3
577,3218,35,1
578,4067,20,3
579,2277,4,5
580,2198,145,4
581,802,47,1
583,2246,39,5
584,3266,27,2
586,4367,81,3
587,1362,17,2
589,861,13,4
590,4844,36,5
591,3067,65,2
592,4111,66,3
593,4422,47,1
594,4447,11,4
595,1625,61,5
596,4573,25,5
597,1360,139,4
598,4258,129,3
599,4346,139,3
601,1027,44,2
602,2613,21,4
604,3324,77,5
605,4825,47,1
606,1389,63,1
607,4698,3,5
608,3421,114,4
609,2149,88,1
610,2960,48,3
611,154,20,1
612,2013,52,2
613,2441,24,5
614,48,108,5
615,3981,83,4
616,3425,15,4
619,3643,38,1
621,764,77,2
622,3188,74,2
623,3801,100,4
624,260,54,5
625,369,110,4
626,2787,141,1
627,4051,145,3
628,338,74,4
629,2190,128,3
630,2747,129,5
631,4672,3,3
632,3029,97,2
633,4652,120,5
634,2181,4,1
635,1861,87,3
636,2195,101,2
637,4834,9,2
639,3364,76,5
640,4281,55,4
641,675,116,3
642,2101,120,4
643,3311,18,3
644,714,133,5
645,490,122,2
647,4605,75,3
648,3510,10,2
649,3481,63,4
650,3605,6,4
651,986,35,2
653,4194,130,2
654,2700,12,2
655,1675,44,5
656,4127,103,3
657,2644,78,2
658,3731,144,1
659,3289,114,4
660,502,103,5
661,122,149,5
662,657,146,2
663,4603,83,2
664,1912,118,1
665,2523,44,3
666,1690,138,2
667,714,61,3
668,4928,29,5
669,3429,98,1
670,4413,1,5
671,2225,132,3
672,2010,38,1
673,4414,121,1
675,4323,14,3
676,4759,37,5
677,13,115,1
678,4908,106,1
679,393,132,1
680,538,103,2
681,3397,76,5
682,248,5,5
683,4747,145,4
685,3153,44,4
686,128,136,1
687,984,45,4
689,1507,86,4
690,666,76,2
691,3064,5,2
692,3757,3,3
693,3319,16,4
695,2526,91,4
696,649,113,3
697,1992,70,5
698,974,146,4
699,3027,103,2
700,1891,98,4
701,4334,150,3
702,4645,45,1
703,1524,100,4
705,4663,46,3
706,4834,40,5
707,4491,83,4
708,3276,119,4
710,1415,65,2
711,1640,49,5
715,4621,77,2
716,4710,39,5
717,272,139,3
718,3144,35,1
719,1240,47,2
720,3969,110,1
721,2139,103,5
722,4467,9,3
723,1079,22,3
724,23,105,5
725,2730,40,3
726,56,79,1
727,2605,19,4
729,1390,90,4
730,4716,46,2
731,4783,19,5
732,1721,49,2
734,2220,7,5
735,1055,81,1
736,3854,20,5
738,1958,43,5
739,2196,50,1
740,602,91,3
741,648,25,4
742,3215,64,1
744,104,82,1
745,151,64,5
746,668,7,5
747,1314,11,3
748,4457,72,1
749,4376,39,2
750,2769,98,4
752,455,120,1
753,4156,111,5
754,4958,11,1
755,963,24,3
756,647,38,4
757,2747,142,1
758,3272,31,4
759,3726,41,3
760,3854,122,3
761,2282,15,2
762,1612,17,1
763,4689,63,4
764,3981,105,4
766,112,99,5
767,1063,143,1
768,3181,13,1
769,341,62,1
770,1059,23,4
772,969,16,2
773,1173,6,3
774,1639,118,5
775,4895,29,2
776,342,137,2
777,3797,127,3
779,4956,74,2
780,1019,144,5
781,2850,136,3
782,3262,41,5
783,3040,127,1
784,3338,61,4
785,3441,80,1
787,1612,17,3
788,3068,2,2
789,739,25,1
790,3605,96,3
791,1714,84,5
792,3076,94,3
793,3831,82,1
794,655,135,5
795,2461,104,4
796,1009,50,5
797,4584,141,3
798,403,63,4
799,727,63,1
800,1344,93,2
801,1177,123,2
802,3317,11,5
803,2640,42,4
804,4864,67,4
805,1307,137,2
806,1953,6,3
807,2,49,2
808,2404,77,1
809,4304,3,4
810,2631,85,3
811,3187,114,5
812,569,57,1
813,3223,63,2
814,3544,39,4
815,3825,20,5
816,277,103,4
818,2745,44,3
819,2357,10,3
821,3006,110,2
822,20,111,1
823,2008,49,3
824,3306,68,1
825,3669,125,2
826,1783,147,5
827,2276,20,5
828,4828,81,1
829,4893,54,4
830,3576,33,2
831,2108,26,2
832,4799,137,1
833,855,74,3
835,1339,50,5
836,2492,77,2
837,3778,126,5
838,4312,33,5
839,3958,140,3
840,4278,20,2
841,2093,95,4
842,4711,70,3
844,4437,1,4
845,3236,13,1
846,1153,99,1
847,2644,82,5
848,2276,134,3
849,2937,91,2
850,3531,2,5
851,4269,107,2
852,471,107,3
853,1261,66,3
854,4197,121,1
856,1912,121,1
857,2009,12,3
858,2194,55,4
859,371,86,5
860,4381,72,2
863,2758,143,2
864,4993,4,1
865,2900,97,4
866,4174,4,4
867,1825,5,5
869,1206,12,1
870,4346,36,3
871,144,80,2
872,3605,121,4
873,4995,30,1
875,4277,34,3
876,4260,132,3
877,3443,57,4
878,2954,97,3
879,3441,75,2
880,3633,1,2
881,1751,23,5
882,740,129,2
883,2964,145,5
884,192,40,4
885,1803,31,5
886,221,44,5
887,3510,70,5
888,3671,142,4
889,4759,67,4
890,2572,135,5
891,326,54,1
892,531,15,3
893,4986,100,5
894,2160,114,5
895,1275,123,2
896,3270,47,5
897,2734,141,5
898,4646,139,4
899,806,35,1
901,971,34,2
902,1180,60,5
903,3578,117,2
904,363,84,5
905,4249,58,2
907,1787,85,1
908,2608,9,1
910,2550,131,1
911,2551,124,1
913,3637,101,5
914,307,113,4
915,4406,37,3
916,2188,132,4
917,4707,7,2
918,3468,110,1
919,1786,82,4
920,1707,91,4
921,1313,38,2
922,3224,54,2
923,727,95,3
924,1858,77,3
926,3188,120,3
927,3149,66,1
928,4689,73,4
930,1324,20,1
931,4521,74,1
932,2457,123,1
933,2091,53,4
934,1053,33,3
935,1978,8,4
936,2850,8,5
937,1534,49,4
939,2568,62,1
940,1049,57,5
941,593,54,4
942,3449,5,4
943,2683,78,4
944,2407,43,3
945,2491,93,3
947,1051,18,3
948,3125,86,2
949,3982,97,3
950,2447,7,5
951,1466,86,2
952,2221,66,4
953,1480,138,1
954,1976,17,3
955,686,124,2
956,761,118,4
957,2596,35,1
958,4778,63,4
959,4210,136,5
961,1689,84,1
962,3549,106,1
963,122,141,4
964,3321,82,2
965,3721,105,1
966,3505,51,1
968,445,129,3
969,2746,5,2
970,783,40,4
971,845,66,5
972,157,103,2
973,4255,35,3
974,2618,34,2
975,3095,8,5
976,619,54,3
978,3104,30,2
979,4897,106,3
980,2493,103,3
981,3508,45,5
982,1584,14,5
983,2028,117,4
984,1987,147,3
986,1455,104,3
987,544,100,3
988,4186,107,1
989,3027,104,3
990,3618,70,4
991,2604,87,5
993,1263,100,5
994,846,21,4
996,2348,85,4
997,4733,26,5
998,4633,61,5
999,633,91,5
1001,2006,54,4
1002,1361,2,3
1003,3471,142,1
1004,1147,71,1
1006,3622,83,2
1007,1348,76,4
1008,1567,118,5
1010,655,29,4
1011,3140,146,5
1012,210,141,3
1013,909,100,3
1014,4680,103,2
1015,2230,9,1
1016,1898,70,4
1017,1681,71,1
1018,4615,68,1
1020,747,3,5
1021,4836,22,1
1022,1324,10,5
1023,3418,31,5
1024,593,11,2
1025,1644,85,3
1026,491,51,1
1027,4633,25,5
1028,4453,21,4
1029,708,30,2
1030,801,80,1
1031,2486,2,5
1032,724,31,5
1033,2451,125,1
1034,4978,112,5
1035,3118,110,1
1036,653,128,1
1038,1244,73,1
1040,3550,48,4
1041,2822,83,4
1043,3822,71,3
1044,4953,146,5
1045,479,28,3
1046,2850,103,3
1047,2427,48,1
1048,3193,93,1
1049,66,11,3
1051,2136,132,1
1052,29,106,5
1053,2228,26,5
1055,1322,37,2
1056,1270,138,3
1057,4310,77,3
1058,4541,30,1
1059,2018,8,3
1060,3630,43,5
1061,63,112,3
1062,4560,119,1
1064,2699,20,2
1065,4183,25,3
1066,4553,117,2
1067,1436,131,5
1068,3159,89,5
1070,1196,114,2
1071,3298,4,3
1072,2822,96,3
1073,171,72,1
1074,4938,146,3
1075,1256,140,4
1076,398,108,2
1078,3395,58,5
1079,4815,15,2
1080,4195,123,5
1081,3259,78,4
1082,1478,3,2
1084,262,117,3
1086,2584,150,4
1088,504,55,2
1089,2769,75,2
1090,2640,36,2
1091,166,36,4
1092,4916,41,3
1093,4918,34,1
1094,4437,46,3
1095,4837,104,2
1096,41,33,1
1097,993,41,3
1099,4723,63,5
1102,2790,72,1
1104,1169,74,3
1105,1780,60,4
1106,3840,137,3
1108,969,91,5
1109,856,116,4
1110,3507,89,4
1111,3425,7,2
1112,2631,15,1
1113,491,63,1
1114,4482,114,4
1115,1676,35,4
1116,2915,19,4
1117,4234,132,2
1118,687,39,2
1119,237,63,3
1120,2013,138,2
1121,600,67,5
1122,4115,98,2
1123,4386,27,5
1124,4071,146,3
1125,4291,25,3
1126,249,91,4
1127,1508,57,3
1128,1184,72,3
1129,2040,94,3
1130,3162,106,4
1131,4823,43,5
1132,3012,6,2
1133,3386,146,4
1134,2735,37,1
1135,1036,107,2
1136,1896,6,5
1137,2109,69,1
1139,1605,127,1
1140,2826,146,2
1141,4258,14,2
1142,4340,75,2
1143,1582,40,5
1145,1615,57,5
1146,36,36,2
1147,402,133,3
1148,2074,140,2
1149,3698,98,5
1150,4426,128,1
1152,4911,144,4
1155,2719,29,5
1156,492,13,5
1157,4728,10,1
1158,504,17,4
1159,2785,55,2
1161,4143,11,1
1162,3304,82,4
1163,3693,10,5
1164,3790,27,5
1165,4578,53,1
1167,925,147,4
1169,538,11,1
1170,4394,49,5
1171,2849,113,5
1172,2988,64,5
1173,4172,41,2
1174,3949,12,3
1175,2193,110,5
1177,3785,99,5
1178,1819,18,1
1179,1031,95,4
1181,4623,33,1
1182,1834,43,4
1183,950,129,3
1184,3939,100,5
1185,3626,38,2
1186,2283,76,4
1187,425,124,4
1188,770,110,5
1189,3890,94,4
1190,3267,117,1
1192,3004,73,4
1193,2987,118,2
1194,723,67,5
1195,3758,73,2
1196,935,30,3
1199,1712,120,5
1200,4558,53,3
1201,1696,23,1
1202,3301,24,4
1203,4140,100,2
1204,188,24,4
1205,3340,38,2
1206,4414,43,4
1208,708,97,3
1209,198,87,2
1210,939,52,2
1212,733,15,5
1213,4876,17,5
1214,30,80,5
1215,1422,60,3
1216,4455,47,1
1217,1886,68,4
1218,726,107,5
1219,203,22,2
1220,3516,90,5
1221,3760,66,1
1222,1805,23,3
1224,1662,129,2
1225,4789,79,4
1227,3980,26,4
1228,1027,139,2
1229,1935,135,3
1230,3249,42,4
1231,1302,111,5
1233,3238,84,5
1234,4934,138,1
1235,4758,82,1
1236,2797,123,4
1237,4942,98,5
1238,4564,137,1
1239,2384,113,4
1240,4518,147,2
1241,2888,90,5
1242,658,79,1
1243,2958,2,2
1245,4025,119,2
1246,1158,5,2
1247,109,130,1
1248,1401,6,5
1249,1485,49,2
1251,1115,45,4
1252,4704,62,3
1253,2676,24,3
1254,4896,105,4
1255,3117,127,3
1256,2074,57,1
1257,3516,138,4
1258,4212,69,3
1259,1874,91,4
1261,4241,40,4
1262,4297,131,3
1263,3347,144,3
1264,3528,87,1
1265,2504,16,1
1266,4359,119,1
1267,1615,51,4
1268,4015,81,3
1269,40,8,2
1270,2877,10,1
1271,2814,48,1
1272,2814,17,4
1273,1905,126,3
1274,824,62,5
1275,1367,48,3
1276,3557,98,3
1277,419,127,2
1278,2868,88,3
1279,3534,21,3
1280,3905,78,3
1281,1802,9,4
1282,1528,28,2
1283,2050,36,3
1285,1424,8,5
1286,3622,4,1
1287,1918,111,2
1288,4897,19,4
1289,2546,85,5
1290,1025,108,1
1292,4347,79,1
1293,1248,95,2
1294,3001,38,2
1295,2092,93,4
1296,1514,17,3
1297,199,67,1
1298,1664,64,5
1299,693,41,5
1300,973,28,4
1301,4789,120,4
1302,2784,116,2
1303,3501,22,5
1304,1275,141,5
1305,2640,118,4
1306,221,145,4
1307,3622,89,5
1308,664,51,3
1310,4266,127,1
1311,2537,15,3
1312,3708,13,1
1313,4953,53,4
1314,2438,138,2
1315,3474,25,2
1316,1083,19,3
1317,2004,16,3
1318,24,138,2
1320,3169,106,1
1321,4632,23,4
1322,3117,120,5
1323,3983,48,1
1324,662,26,4
1325,3742,62,3
1326,226,137,3
1327,1776,136,1
1328,4786,68,3
1329,2977,121,4
1330,3191,48,4
1331,3598,30,5
1332,1159,62,4
1333,3291,98,4
1334,207,127,1
1335,4299,74,1
1336,1146,74,1
1337,3203,46,2
1338,7,29,4
1339,793,45,1
1340,2421,29,5
1342,3181,138,4
1346,4724,38,5
1347,1374,15,5
1348,528,68,2
1349,672,44,2
1350,1017,6,1
1351,4780,103,4
1352,3672,134,5
1353,2334,115,1
1354,1105,32,5
1356,4379,3,4
1357,2568,63,4
1358,772,119,3
1359,3676,107,5
1360,3363,144,1
1361,1731,149,1
1362,1366,30,1
1363,3490,90,2
1364,1818,50,1
1365,1984,135,5
1366,372,15,2
1367,2424,86,3
1368,1921,141,1
1370,2640,88,3
1371,4917,48,1
1372,2082,108,1
1373,1493,104,1
1374,3238,67,1
1375,4546,60,4
1376,432,3,4
1377,4271,87,5
1378,4810,79,5
1379,1111,9,5
1380,1441,118,2
1381,762,131,2
1383,992,58,1
1384,1477,44,3
1386,2013,61,3
1387,772,26,3
1388,1378,142,3
1390,4923,106,1
1391,4217,17,4
1393,1577,17,4
1394,2549,35,3
1395,458,46,1
1396,579,52,3
1397,1485,45,2
1398,3132,111,4
1399,1376,60,4
1400,2049,17,5
1401,1572,5,2
1402,2504,39,4
1403,1456,49,2
1404,2457,138,2
1405,3872,135,5
1406,306,93,2
1407,4605,35,3
1408,2204,6,3
1409,4583,134,3
1410,3929,3,4
1411,4957,109,2
1412,788,121,1
1413,1021,134,1
1414,4823,35,4
1415,2251,103,5
1416,3521,138,3
1417,3348,118,1
1418,3550,22,5
1420,3671,101,3
1422,164,99,3
1423,1481,54,3
1425,137,105,5
1426,1879,80,3
1428,2713,32,1
1429,2707,62,4
1430,1413,78,1
1431,2043,74,4
1432,425,51,3
1433,693,21,2
1434,4736,86,5
1435,13,129,2
1436,4012,135,4
1437,1772,107,2
1438,1767,73,5
1439,4168,97,2
1440,4401,39,3
1441,3455,13,2
1443,3388,100,4
1444,2566,131,5
1445,4960,127,4
1446,3067,74,3
1447,2739,91,4
1448,2079,8,2
1449,3816,122,3
1450,185,123,3
1451,4889,52,1
1452,3860,54,5
1453,265,12,3
1455,2380,88,3
1456,3463,88,2
1457,1067,111,1
1458,302,8,5
1459,575,63,5
1460,2963,20,5
1461,4847,81,1
1462,2608,115,3
1463,627,79,4
1464,4184,105,1
1465,3782,106,4
1466,1207,5,2
1469,4067,74,3
1470,3942,137,2
1472,265,79,2
1473,4840,65,5
1474,2140,78,1
1476,1851,124,3
1477,4402,105,4
1478,783,53,1
1481,4320,94,1
1482,4935,15,5
1483,623,142,3
1484,4251,29,3
1485,1457,53,1
1486,2549,147,1
1487,1607,17,4
1488,1042,45,2
1490,427,27,5
1491,3869,76,1
1492,3290,64,3
1493,443,83,2
1494,2518,116,1
1495,818,105,5
1496,2563,105,4
1497,2503,78,5
1498,1506,26,5
1499,4899,40,3
1500,844,27,4
1502,1312,35,1
1503,1159,129,2
1504,4090,103,4
1505,4657,38,2
1507,1888,91,2
1508,3735,52,1
1509,3796,69,5
1510,1056,49,1
1511,2865,86,1
1512,4193,6,2
1513,4228,98,5
1514,1491,108,3
1515,2159,103,5
1516,342,6,1
1517,4788,112,3
1518,769,85,3
1519,1103,144,5
1520,3628,98,5
1521,1947,100,1
1522,1049,36,1
1523,801,50,1
1524,3949,71,4
1525,653,4,1
1526,994,66,5
1527,2644,144,5
1528,602,32,5
1529,2963,113,2
1530,762,105,1
1531,2715,33,4
1532,4560,131,4
1533,4332,106,3
1534,1223,43,5
1535,1302,43,1
1536,908,40,2
1539,3271,142,3
1541,2928,21,3
1542,2702,41,5
1543,4403,71,1
1545,2648,31,5
1546,2107,69,3
1547,590,112,1
1548,3610,110,1
1549,409,53,5
1551,2682,40,3
1552,4296,139,2
1553,4917,98,1
1554,4260,112,1
1557,4318,125,3
1559,3220,112,3
1560,3301,36,1
1561,1690,77,1
1562,1255,90,2
1563,2986,44,3
1564,1782,6,4
1565,2622,23,4
1566,2129,95,5
1569,3070,40,3
1570,2514,43,1
1571,2258,46,2
1572,2756,122,4
1574,2672,68,2
1575,2507,111,4
1576,3364,45,1
1577,2177,14,2
1578,923,93,4
1579,418,29,3
1581,1970,68,4
1582,2887,120,3
1583,851,70,4
1584,3224,96,5
1585,1243,38,3
1586,145,150,3
1588,3349,40,5
1589,2151,31,4
1591,834,114,1
1592,4037,126,2
1593,1020,82,1
1594,1776,73,4
1595,3781,100,1
1596,256,11,4
1597,3140,70,4
1599,1279,94,2
1600,4796,103,3
1601,3510,62,3
1603,4411,22,2
1604,873,2,2
1606,1858,58,5
1607,513,69,1
1608,91,117,2
1609,3580,144,4
1610,4208,88,4
1611,3858,68,1
1612,4150,134,5
1613,1035,51,2
1614,1364,41,1
1615,4798,140,2
1616,2508,82,3
1617,2236,96,2
1618,2598,20,1
1619,4361,88,4
1620,1537,5,2
1621,4528,139,5
1622,3514,26,3
1623,658,35,1
1624,4279,63,1
1627,379,3,4
1628,4453,120,5
1629,3959,124,1
1630,1520,128,3
1631,4229,13,1
1632,4705,58,2
1633,2437,103,4
1634,895,22,3
1635,1890,6,3
1636,4663,145,4
1637,1880,87,1
1638,4884,14,1
1640,3206,3,2
1641,2721,18,4
1642,2793,103,2
1643,3469,7,5
1644,2264,37,5
1645,3016,129,2
1647,3933,65,2
1648,2828,42,3
1649,725,140,1
1650,3012,150,5
1651,1807,117,4
1652,3981,50,4
1653,467,78,3
1655,4549,54,4
1656,945,117,4
1658,4810,117,2
1659,3871,12,2
1660,3443,116,4
1661,2163,88,1
1662,2302,12,4
1663,1780,139,3
1664,2793,42,4
1665,4782,93,3
1666,3388,27,4
1667,4720,79,3
1668,2877,119,5
1671,3115,90,1
1672,3105,47,4
1673,4255,105,4
1674,3628,117,3
1675,1681,105,2
1676,4828,114,1
1678,1413,9,2
1679,1344,62,2
1680,4829,65,1
1681,226,97,3
1682,19,89,2
1683,4405,83,5
1684,1119,63,1
1685,3134,68,5
1686,4356,88,1
1687,4263,66,3
1688,1173,2,4
1689,2480,94,1
1690,3476,115,1
1691,345,34,2
1692,3937,24,3
1694,4636,124,5
1695,625,41,5
1696,3349,29,5
1697,2462,3,2
1699,3995,21,1
1700,1305,1,4
1702,1127,18,3
1703,1079,82,1
1704,2913,147,3
1706,2799,139,2
1707,4693,130,2
1708,4550,137,1
1709,721,86,5
1710,1103,20,5
1712,4633,124,1
1713,2871,34,5
1716,4797,42,1
1717,3048,32,2
1718,3635,43,4
1719,3765,29,3
1720,2450,120,5
1721,3158,21,5
1723,1931,112,4
1725,3789,43,4
1727,4248,12,5
1728,385,58,5
1729,2432,121,4
1730,251,146,5
1731,2903,123,3
1732,3322,36,3
1733,271,60,1
1734,2199,16,3
1735,1981,30,2
1737,105,17,2
1738,1825,85,3
1740,2647,107,4
1741,676,64,1
1742,1362,42,4
1743,1936,3,2
1745,2554,116,2
1746,2662,14,3
1747,2037,127,1
1748,3629,69,2
1750,1737,47,3
1751,3841,57,2
1752,4186,57,4
1754,832,40,4
1755,178,138,4
1756,1981,12,1
1757,1029,34,1
1759,4815,69,1
1760,1248,77,4
1761,645,41,3
1762,1079,131,1
1763,4235,24,3
1764,2862,58,3
1765,2081,18,4
