sale_id,customer_id,product_id,store_id,quantity,amount,sale_date
88,48,489,52,4,1624.33,2025-11-03
89,887,145,100,2,881.91,2025-04-03
90,567,234,2,5,885.52,2024-10-16
91,578,402,39,6,697.93,2025-03-21
92,378,303,64,10,1364.4,2025-06-30
93,560,390,32,4,1486.33,2025-11-24
94,420,13,30,3,69.18,2025-08-26
95,860,356,2,9,1676.55,2025-07-13
96,674,193,95,6,124.21,2025-05-09
97,543,122,54,5,349.48,2024-10-29
98,996,73,92,8,3850.95,2026-01-08
99,944,119,67,5,323.26,2026-04-12
100,382,235,96,7,2494.85,2025-09-20
101,518,69,82,2,597.54,2025-10-22
102,582,32,56,7,391.43,2024-08-09
103,268,436,41,3,400.95,2026-03-11
104,754,168,41,7,2494.44,2026-03-13
105,77,484,26,8,1204.31,2024-09-19
106,599,56,20,3,1183.11,2026-01-06
107,478,161,53,2,197.8,2025-05-10
108,988,395,27,2,554.49,2024-09-11
109,272,437,16,8,1343.9,2024-12-05
110,703,156,91,2,191.31,2026-03-31
111,856,439,42,10,393.58,2025-03-08
112,255,496,46,3,191.35,2025-03-26
113,694,154,34,7,1865.22,2025-04-03
114,415,438,58,3,104.76,2026-06-25
115,256,49,60,9,3411.7,2025-07-06
116,144,63,2,2,811.74,2026-07-08
117,228,67,26,1,418.58,2026-04-08
118,646,481,83,7,1390.73,2024-09-02
119,266,470,10,2,599.03,2026-03-25
120,203,463,83,1,498.64,2025-01-02
121,95,464,43,8,3267.71,2025-06-16
122,473,26,22,2,80.99,2025-07-11
123,742,203,64,10,2279.15,2026-01-28
124,437,89,46,1,203.71,2025-11-06
125,282,144,58,4,1823.94,2025-06-07
126,635,316,32,3,109.9,2024-10-31
127,904,282,62,5,1297.34,2025-08-09
128,393,71,54,1,62.11,2026-03-26
129,817,270,32,4,1313.89,2024-11-04
130,392,401,92,9,3613.74,2026-02-11
131,801,249,45,6,1501.49,2025-03-19
132,398,139,24,10,2611.49,2025-06-16
133,225,16,100,1,173.06,2026-03-05
134,484,272,46,5,240.62,2024-10-05
135,998,82,13,10,4998.11,2024-11-16
136,273,274,95,4,1341.18,2025-02-20
137,971,113,74,1,386.74,2025-11-21
138,860,433,23,7,1332.14,2026-06-20
139,326,413,95,3,400.63,2025-02-25
140,29,361,90,6,2752.26,2025-04-03
141,578,73,73,6,2848.97,2025-11-10
142,830,452,64,4,1686.46,2025-12-21
143,503,20,12,9,1515.11,2025-11-08
144,225,11,68,1,131.66,2025-04-07
145,940,315,26,8,162.62,2026-03-09
146,182,471,42,3,550.69,2025-02-17
147,601,361,19,1,30.52,2025-05-25
148,882,187,10,2,852.62,2025-03-17
149,679,203,76,6,2149.07,2026-04-18
150,331,70,21,2,363.1,2025-02-16
151,984,250,84,7,2800.59,2025-11-26
152,992,288,89,6,621.7,2024-07-08
153,229,341,76,10,3977.56,2026-05-14
154,752,353,38,3,604.87,2026-06-17
155,2,486,90,3,315.9,2026-03-13
156,790,495,73,10,2079.69,2024-07-15
157,326,472,79,1,107.4,2025-07-10
158,107,480,64,4,1308.12,2024-07-21
159,80,122,45,3,536.88,2025-07-28
160,907,494,12,6,603.52,2025-12-05
161,272,108,32,6,1406.29,2026-02-02
162,806,56,93,2,376.46,2025-01-08
163,449,376,54,1,43.11,2026-05-24
164,505,452,49,3,1333.75,2026-04-04
165,104,425,62,6,1692.55,2025-02-03
166,704,116,21,10,3324.65,2025-01-18
167,867,18,38,8,443.04,2026-01-10
168,975,54,10,1,172.98,2025-08-06
169,385,83,94,6,609.9,2026-05-25
170,920,48,44,2,565.16,2025-12-20
171,915,248,91,10,4929.33,2026-02-09
172,670,85,78,1,227.04,2024-08-11
173,104,170,27,7,667.87,2024-12-25
174,568,370,94,4,865.82,2025-06-24
175,289,153,31,9,1325.94,2024-07-17
176,586,282,63,2,87.65,2025-03-17
177,4,219,12,3,138.49,2025-01-31
178,641,308,62,5,2077.35,2025-07-27
179,212,88,82,4,266.21,2024-10-04
180,485,433,15,5,2444.94,2025-04-03
181,483,251,85,5,1983.7,2025-02-02
182,558,199,24,5,318.73,2025-09-15
183,379,96,58,6,2670.22,2024-12-04
184,477,135,29,1,146.38,2025-06-16
185,155,386,90,5,1454.19,2026-05-19
186,353,414,70,2,122.28,2026-03-17
187,604,117,71,7,3401.57,2024-10-11
188,839,268,54,1,423.58,2024-12-25
189,959,244,74,9,3148.13,2025-01-15
190,81,203,92,4,994.42,2025-08-07
191,923,265,74,1,261.01,2025-07-10
192,973,388,58,10,907.75,2025-11-21
193,172,498,28,-5,1426.65,2024-07-15
194,434,41,88,4,322.28,2025-06-30
195,843,322,19,7,818.45,2024-11-11
196,933,373,9,10,1437.85,2026-06-23
197,407,283,42,2,412.58,2025-04-09
198,940,448,2,5,1347.25,2024-08-30
199,801,215,15,10,3020.37,2026-06-07
200,581,302,75,7,642.8,2025-04-14
201,577,400,13,2,927.93,2026-03-13
202,902,177,53,5,2181.94,2025-08-14
203,498,293,78,5,1019.3,2025-07-10
204,283,207,19,8,303.87,2024-10-18
205,711,206,5,10,3121.55,2024-07-21
206,340,354,31,7,3128.97,2024-12-28
207,943,138,48,1,377.96,2024-07-27
208,813,156,40,1,182.18,2026-03-31
209,879,357,88,5,2122.83,2024-08-15
210,234,69,39,-5,973.6,2025-09-05
211,329,138,94,8,3132.28,2025-05-16
212,92,97,57,7,2172.73,2024-12-10
213,417,380,63,-5,1833.79,2024-09-29
214,841,29,66,9,3926.26,2026-01-19
215,727,260,52,3,154.49,2025-08-09
216,537,451,73,3,1183.94,2026-03-01
217,897,427,26,1,103.39,2025-08-24
218,468,26,47,1,139.76,2025-10-28
219,844,238,65,4,606.04,2024-12-13
220,127,349,4,7,2274.98,2025-10-30
221,609,229,23,4,795.14,2025-03-23
222,359,177,21,8,2413.62,2024-10-31
223,706,47,37,5,1897.51,2025-11-09
224,167,438,74,1,205.55,2024-11-08
225,663,116,87,4,1725.65,2026-07-05
226,420,263,3,4,596.64,2024-11-09
227,136,332,23,1,247.57,2025-01-08
228,230,130,78,10,4044.15,2026-06-29
229,727,330,36,5,1810.58,2025-10-16
230,873,179,59,7,3148.82,2025-03-01
231,310,347,67,5,623.7,2025-09-27
232,105,4,66,10,,2025-02-02
233,609,312,37,6,1737.0,2026-02-28
234,494,33,44,5,1742.59,2025-12-08
235,883,142,34,5,1637.43,2024-12-18
236,530,392,31,5,552.06,2025-10-18
237,822,415,77,1,406.61,2025-02-18
238,698,72,93,7,2359.38,2025-03-26
239,303,133,54,1,334.59,2024-10-08
240,37,299,91,7,1444.6,2026-06-02
241,352,372,92,10,4116.87,2025-04-20
242,654,402,61,4,1397.73,2024-11-14
243,866,88,85,6,1581.07,2026-06-19
244,100,242,17,9,962.51,2025-09-12
245,573,391,24,5,1840.45,2025-11-16
246,228,182,29,6,2004.77,2024-07-11
247,909,170,48,5,1109.13,2026-04-13
248,475,436,16,5,1505.37,2025-11-19
249,650,299,75,8,366.12,2026-04-21
250,911,100,65,10,541.84,2026-06-13
251,391,272,39,2,872.8,2025-06-12
252,875,78,18,7,321.65,2025-11-21
253,584,458,59,4,737.93,2026-03-30
254,733,93,100,3,515.59,2026-05-11
255,647,91,41,2,508.08,2025-08-04
256,281,108,98,1,22.26,2025-06-28
257,163,251,98,3,889.84,2025-10-17
258,445,325,55,2,164.23,2025-02-04
259,489,197,1,7,1581.53,2025-03-14
260,749,192,2,1,276.22,2025-01-20
261,544,98,3,6,2299.72,2024-11-23
262,255,116,89,1,320.81,2025-05-23
263,106,197,65,6,1018.83,2025-06-03
264,67,422,6,10,1669.35,2026-05-20
265,467,373,67,5,2376.31,2025-06-26
266,445,455,88,-5,2715.76,2026-05-13
267,924,251,46,3,553.54,2025-09-17
268,929,471,52,4,396.58,2025-03-21
269,745,68,28,1,129.64,2024-10-28
270,174,64,47,1,303.05,2025-07-13
271,656,131,99,1,200.09,2025-03-20
272,609,25,85,9,2871.94,2025-10-13
273,21,25,89,2,667.42,2025-05-06
274,390,64,71,2,440.1,2024-10-23
275,157,106,89,5,1238.55,2025-06-10
276,678,52,85,1,164.54,2025-06-07
277,621,359,18,9,1346.3,2025-11-04
278,108,262,93,7,2930.99,2024-11-26
279,117,402,14,10,765.13,2025-08-22
280,205,399,34,8,922.8,2024-11-18
281,367,361,53,9,4383.88,2025-02-15
282,562,255,27,5,484.9,2026-03-19
283,3,7,86,8,1429.52,2026-02-16
284,856,294,86,2,910.6,2025-07-11
285,93,400,66,8,732.71,2025-07-08
286,104,464,33,2,734.62,2025-09-01
287,304,136,60,4,956.96,2024-09-14
288,179,448,6,1,67.91,2026-03-14
289,694,161,55,5,964.52,2025-04-08
290,777,456,6,2,131.2,2025-12-10
291,680,332,22,1,428.96,2025-10-12
292,449,490,80,6,1149.68,2025-04-01
293,96,191,44,5,2208.34,2026-06-20
294,410,493,59,3,223.92,2024-09-26
295,707,436,62,5,2105.7,2026-03-11
296,817,86,15,7,2320.12,2025-02-05
297,61,483,21,3,1062.48,2024-10-07
298,605,248,73,2,439.39,2025-02-11
299,389,399,46,8,856.04,2024-10-25
300,701,451,94,10,338.32,2026-02-06
301,500,58,53,3,755.63,2025-09-26
302,268,336,41,8,336.53,2025-09-20
303,695,269,99,1,358.19,2026-05-28
304,230,490,86,10,3674.11,2025-07-11
305,705,359,80,6,1615.01,2025-03-10
306,745,128,62,2,455.53,2026-05-01
307,657,198,20,6,2031.49,2025-08-10
308,628,28,2,9,4033.71,2024-08-31
309,481,437,64,3,788.02,2024-09-07
310,504,165,31,3,167.81,2026-04-19
311,52,260,29,6,2914.02,2024-09-11
312,413,419,31,9,2959.13,2024-08-17
313,821,294,58,2,480.73,2025-05-06
314,458,162,16,2,862.33,2025-10-08
315,19,53,52,8,3021.72,2024-07-08
316,563,1,12,7,260.4,2026-03-28
317,653,156,66,10,4823.22,2026-06-12
318,688,234,44,9,1073.6,2025-05-17
319,837,115,59,6,2496.9,2025-04-25
320,635,308,61,6,1733.23,2025-10-01
321,117,50,98,6,2181.83,2025-07-18
322,364,425,82,4,84.22,2026-03-16
323,383,360,14,5,1414.46,2025-05-09
324,505,72,92,1,450.5,2024-09-01
325,626,101,25,7,499.39,2026-06-12
326,403,111,59,2,933.01,2024-12-30
327,111,388,54,4,1456.23,2025-08-14
328,858,345,76,1,464.78,2025-06-29
329,462,235,85,2,781.26,2025-07-16
330,138,494,64,10,4789.71,2025-04-16
331,50,284,56,1,274.57,2024-07-28
332,521,400,23,10,2518.07,2026-04-29
333,835,66,14,10,1033.52,2025-03-15
334,621,452,42,7,2349.27,2024-08-19
335,429,312,89,9,3987.61,2024-08-28
336,987,176,38,4,605.3,2026-02-21
337,142,212,78,8,3250.42,2025-12-11
338,719,281,41,9,1471.3,2026-02-27
339,206,108,80,9,2912.76,2026-06-27
340,944,345,17,5,1747.87,2024-09-01
341,711,327,42,3,785.61,2025-07-03
342,576,246,75,2,770.34,2026-04-10
343,728,214,87,10,4724.83,2024-07-08
344,868,217,2,9,1415.21,2024-07-22
345,391,75,7,9,639.95,2025-07-29
346,769,403,21,1,115.95,2026-05-29
347,150,430,8,5,1740.14,2026-06-26
348,555,17,46,5,589.6,2024-09-30
349,889,346,95,8,553.52,2026-05-06
350,761,332,72,9,3916.12,2026-04-11
351,804,408,90,7,938.32,2025-10-26
352,49,475,49,5,1763.05,2026-06-08
353,808,500,88,7,1539.66,2025-07-01
354,56,7,96,6,2901.6,2026-03-28
355,890,400,57,5,587.41,2025-06-17
356,722,364,83,4,1830.05,2025-05-24
357,560,379,78,6,2294.71,2025-02-05
358,988,100,38,4,1570.2,2025-03-29
359,700,39,24,8,841.32,2025-09-19
360,123,194,6,3,1118.51,2026-04-30
361,271,67,21,7,1077.82,2025-04-09
362,6,170,60,10,4260.87,2026-02-08
363,951,166,77,3,117.51,2026-01-21
364,641,316,85,1,391.36,2025-09-01
365,587,282,46,5,1277.32,2025-06-29
366,326,270,29,2,792.67,2024-07-26
367,806,259,21,3,809.67,2025-04-27
368,414,48,45,7,1964.75,2025-07-19
369,680,170,43,4,1776.12,2024-11-09
370,974,386,80,6,965.49,2024-08-04
371,575,422,97,9,2231.38,2026-06-02
372,355,229,31,1,75.07,2024-07-22
373,250,491,6,10,4609.32,2026-04-23
374,816,484,15,6,1218.35,2025-07-16
375,742,145,4,7,1002.14,2026-06-25
376,384,264,66,9,3731.51,2025-07-06
377,304,460,84,8,2029.33,2026-03-29
378,85,486,13,4,695.0,2024-11-06
379,792,276,69,3,1459.15,2026-05-02
380,216,344,81,1,320.93,2025-12-25
381,435,428,14,4,1740.71,2025-10-20
382,720,450,95,4,1112.49,2025-05-31
383,963,37,96,7,2312.45,2025-06-14
384,735,170,5,3,94.2,2025-12-08
385,183,407,33,2,110.32,2024-09-22
386,842,117,34,9,484.31,2026-07-03
387,646,208,56,7,1443.79,2025-06-25
388,690,61,69,6,168.65,2025-03-01
389,634,33,97,1,327.88,2025-05-22
390,869,38,46,10,418.48,2025-09-02
391,806,352,39,9,638.51,2025-11-14
392,784,475,57,10,615.23,2026-07-07
393,677,16,61,7,1467.58,2025-11-22
394,140,383,51,3,828.19,2025-10-15
395,650,74,39,9,1454.31,2025-03-21
396,12,284,72,6,2877.29,2025-11-17
397,6,294,77,3,237.46,2026-05-24
398,970,44,40,7,1944.83,2025-01-31
399,926,372,45,4,1516.73,2025-02-15
400,662,436,66,4,872.3,2025-06-16
401,227,316,33,3,291.77,2025-09-11
402,688,410,73,4,300.08,2026-06-13
403,955,282,60,1,428.67,2026-02-04
404,688,35,33,9,495.98,2025-12-31
405,595,250,43,2,229.52,2024-07-08
406,672,121,13,6,489.26,2025-07-06
407,922,100,41,5,1586.84,2026-04-05
408,632,338,40,8,1890.48,2025-05-19
409,581,187,41,10,931.5,2026-06-27
410,321,127,29,7,706.63,2025-04-19
411,369,69,87,7,1069.64,2025-01-18
412,474,229,46,6,2648.31,2025-01-14
413,112,90,83,5,1268.73,2025-02-20
414,288,440,18,10,593.47,2025-03-05
415,752,454,81,9,1028.59,2024-12-05
416,914,10,65,2,738.33,2024-12-21
417,593,208,99,1,410.07,2025-06-09
418,38,283,34,10,1221.25,2025-02-19
419,553,242,84,9,4042.02,2025-07-23
420,229,457,99,3,586.78,2025-01-19
421,298,69,60,10,3719.49,2025-08-17
422,407,187,65,9,2384.98,2025-03-31
423,869,494,79,1,338.09,2024-08-30
424,144,229,21,3,1150.38,2025-12-20
425,580,338,19,3,875.55,2024-12-13
426,42,113,98,8,3766.43,2024-10-13
427,271,190,30,8,1049.92,2025-09-09
428,531,465,47,1,340.92,2025-05-24
429,466,452,6,7,1718.11,2025-11-02
430,332,53,91,1,490.68,2025-02-20
431,281,428,95,9,2917.01,2025-11-30
432,584,90,49,5,1488.72,2025-10-25
433,670,460,10,7,1367.4,2025-01-12
434,997,465,29,9,1266.85,2024-10-16
435,837,445,45,9,1933.24,2025-09-12
436,909,310,1,8,3203.8,2025-05-22
437,451,85,30,9,3990.39,2024-11-27
438,288,109,20,2,533.96,2026-03-23
439,617,368,16,3,286.59,2025-06-05
440,339,369,15,4,876.06,2026-02-23
441,491,108,76,8,2752.88,2025-11-16
442,421,12,32,3,992.05,2024-09-08
443,607,83,18,1,81.38,2026-04-25
444,587,76,8,9,349.3,2025-09-02
445,185,265,52,3,431.89,2025-05-03
446,653,10,93,10,4852.37,2025-01-04
447,222,230,78,5,2373.41,2024-08-23
448,175,113,53,8,3490.44,2026-06-05
449,597,421,99,10,885.02,2024-12-17
450,524,136,22,3,957.42,2024-10-25
451,611,303,9,6,2776.37,2024-09-10
452,136,56,3,4,806.17,2025-07-19
453,932,259,88,4,1083.61,2025-08-08
454,621,50,23,7,2917.09,2026-06-29
455,615,20,69,8,3622.18,2026-04-15
456,96,247,85,9,3430.3,2025-10-18
457,553,424,1,3,1358.86,2025-06-13
458,380,448,6,7,1894.07,2026-05-01
459,961,411,62,9,2033.09,2025-05-23
460,824,380,98,7,1317.74,2026-03-26
461,138,131,62,10,669.04,2024-12-13
462,86,146,77,4,1827.36,2026-01-14
463,194,3,91,9,1945.35,2025-10-07
464,121,267,1,1,297.43,2026-01-20
465,705,412,41,7,2339.27,2024-08-17
466,159,219,84,7,1357.23,2026-04-29
467,876,275,55,10,1417.44,2025-12-24
468,283,349,51,10,1955.09,2025-07-28
469,803,286,62,4,873.4,2024-08-17
470,569,248,33,3,593.11,2025-08-04
471,793,362,51,5,1486.36,2025-09-16
472,676,61,96,3,1291.2,2025-05-30
473,717,487,21,4,937.46,2025-05-25
474,411,403,44,2,245.88,2025-01-14
475,701,362,7,9,2832.59,2024-10-16
476,652,3,12,3,620.31,2025-05-04
477,615,223,12,3,739.2,2024-11-24
478,380,41,78,2,292.57,2025-05-16
479,954,206,79,1,367.76,2024-08-09
480,987,306,8,9,1417.55,2024-10-09
481,450,6,26,3,982.02,2025-07-08
482,35,402,77,9,1415.55,2026-02-14
483,238,315,22,9,2408.31,2025-06-16
484,671,1,21,1,192.68,2024-10-21
485,799,205,46,2,996.94,2026-07-03
486,206,266,2,7,1502.32,2026-02-12
487,563,146,93,2,922.41,2026-01-29
488,357,178,36,9,4132.84,2026-02-08
489,200,233,52,4,1244.22,2026-07-07
490,180,209,65,10,222.33,2025-07-16
491,516,151,44,2,576.29,2024-07-23
492,980,132,69,2,810.82,2025-03-23
493,454,495,49,10,1400.68,2025-02-09
494,250,388,44,10,2521.42,2024-11-26
495,919,301,4,8,2777.32,2026-03-01
496,70,196,82,8,606.47,2025-09-24
497,236,410,41,4,1379.67,2026-03-03
498,529,275,2,7,3350.3,2025-12-06
499,96,205,87,5,695.82,2025-02-22
500,954,92,61,6,338.96,2025-03-03
501,916,294,35,6,1138.19,2024-07-11
502,700,477,25,3,1423.85,2024-09-12
503,241,377,31,8,2990.51,2025-11-10
504,208,428,32,5,596.27,2025-06-25
505,798,55,16,10,1908.93,2024-07-12
506,680,253,79,2,688.78,2024-12-28
507,555,491,6,1,386.84,2025-02-16
508,323,253,74,8,1585.39,2025-11-08
509,783,469,66,5,1277.93,2024-07-26
510,769,296,17,5,1054.91,2025-02-26
511,434,245,70,1,272.35,2025-07-11
512,404,441,88,1,261.19,2026-03-19
513,124,358,67,3,718.36,2025-11-07
514,9,7,87,8,1372.1,2025-11-28
515,104,167,47,4,808.5,2026-04-22
516,192,281,34,10,4336.84,2026-04-12
517,982,314,44,4,597.26,2026-03-09
518,435,108,54,6,649.67,2024-09-23
519,411,144,58,6,1171.42,2025-01-15
520,590,352,30,3,882.83,2025-09-16
521,824,121,72,2,731.98,2024-09-11
522,201,75,95,7,3017.2,2024-12-30
523,10,91,54,3,741.1,2025-12-02
524,915,435,81,8,676.37,2025-07-22
525,324,403,63,9,2486.8,2025-07-17
526,880,291,7,5,702.34,2025-12-11
527,168,31,28,7,472.56,2025-02-21
528,645,50,58,5,1243.69,2025-01-04
529,369,287,72,6,868.14,2025-07-21
530,422,63,45,5,925.94,2024-11-24
531,590,333,84,10,1155.0,2026-06-19
532,800,146,46,9,934.01,2026-05-31
533,500,397,95,6,2058.8,2024-12-18
534,391,315,37,8,3576.19,2025-03-30
535,149,445,22,8,2585.77,2026-02-02
536,628,293,52,6,1334.83,2025-01-15
537,352,117,41,2,115.95,2024-10-29
538,728,137,78,6,2000.68,2025-02-18
539,456,400,47,7,1051.39,2024-09-21
540,462,212,22,10,2700.49,2025-10-28
541,129,373,31,3,1290.07,2025-06-17
542,718,384,11,5,2357.05,2025-09-17
543,106,49,9,4,400.47,2026-05-09
544,27,395,51,8,2265.99,2025-02-02
545,86,54,34,9,3484.78,2025-08-10
546,671,477,50,10,945.32,2025-09-18
547,756,146,57,5,650.45,2024-12-14
548,859,88,4,3,249.04,2026-03-21
549,882,469,42,1,338.5,2025-05-16
550,892,277,35,8,1954.02,2024-11-14
551,993,486,90,9,2101.73,2025-12-07
552,612,234,81,9,944.8,2024-10-13
553,656,328,69,10,2287.89,2025-03-18
554,494,277,30,5,2281.42,2026-03-19
555,375,212,34,2,464.19,2026-03-25
556,1,268,98,3,497.14,2026-01-02
557,481,274,2,3,555.19,2024-11-27
558,489,154,2,8,3796.32,2024-09-10
559,612,119,1,7,2821.16,2025-05-26
560,422,452,72,9,1794.14,2025-05-24
561,168,367,95,7,1466.37,2025-06-24
562,226,135,11,7,2923.51,2025-10-07
563,530,392,79,7,2241.09,2025-03-04
564,761,273,35,5,783.22,2025-10-04
565,71,94,18,7,771.68,2026-04-03
566,467,317,58,5,364.86,2025-02-22
567,504,97,42,5,1781.13,2025-01-18
568,993,274,3,1,93.03,2024-10-07
569,289,138,17,3,1460.16,2025-05-17
570,239,47,20,8,2952.09,2024-11-17
571,351,216,40,1,256.92,2026-03-07
572,475,357,5,8,3992.18,2025-05-22
573,769,488,19,6,351.04,2026-02-21
574,402,37,70,1,147.92,2024-09-15
575,918,431,33,8,857.36,2026-06-24
576,125,499,99,7,2922.93,2026-01-12
577,999,227,32,4,818.81,2024-12-13
578,753,395,13,1,115.61,2025-05-07
579,214,243,50,9,3057.15,2025-12-10
580,163,323,94,5,2346.92,2025-11-21
581,563,267,16,1,377.47,2025-01-29
582,306,102,47,5,1254.95,2026-07-01
583,224,499,15,1,434.56,2024-12-30
584,333,8,22,4,1295.19,2025-01-26
585,406,405,32,5,1503.27,2026-03-05
586,596,402,89,1,485.04,2025-03-16
587,159,191,99,8,2803.48,2026-06-30
588,512,47,88,2,278.77,2025-03-20
589,993,389,81,10,1824.43,2024-07-28
590,661,79,90,1,48.69,2024-10-09
591,129,250,30,9,3599.13,2024-12-25
592,808,331,97,6,2947.23,2026-01-29
593,450,376,25,6,2439.91,2026-06-20
594,367,371,18,1,350.84,2026-04-28
595,497,362,57,5,2256.79,2024-10-24
596,714,251,25,9,1453.17,2025-05-02
597,357,166,94,10,1095.81,2026-01-22
598,852,307,71,8,1217.25,2025-12-15
599,159,231,38,3,159.18,2026-03-14
600,465,1,100,5,1399.85,2025-05-24
601,190,453,3,9,1817.47,2025-01-20
602,795,318,31,10,4312.78,2024-12-25
603,675,496,69,6,2196.49,2026-01-12
604,700,255,99,7,777.96,2025-04-30
605,290,166,53,9,845.85,2025-10-23
606,536,338,9,6,438.14,2025-11-18
607,133,92,5,1,420.89,2025-04-06
608,197,51,5,4,285.55,2026-07-07
609,398,337,63,10,3280.41,2024-11-19
610,605,132,7,9,2875.55,2026-06-05
611,736,37,2,6,755.68,2026-05-11
612,951,456,11,4,1339.04,2024-10-27
613,63,185,72,8,3235.92,2025-05-31
614,814,363,8,7,2902.01,2025-09-20
615,42,376,10,10,1475.92,2026-01-01
616,222,492,67,5,287.04,2026-04-15
617,237,273,50,2,137.18,2025-12-07
618,673,128,73,4,450.79,2025-12-19
619,572,213,96,3,864.13,2026-02-09
620,591,184,87,2,775.63,2025-11-21
621,438,453,14,8,2857.79,2025-01-13
622,564,206,65,3,1201.14,2024-12-19
623,547,308,57,6,2013.69,2025-01-24
624,564,167,48,6,2719.16,2026-03-24
625,441,423,93,7,2707.66,2024-08-18
626,577,280,28,6,1872.23,2026-04-02
627,949,382,33,7,2712.78,2025-01-09
628,459,492,51,6,2889.56,2026-05-19
629,292,306,3,1,368.63,2024-07-24
630,912,155,1,9,763.57,2025-11-04
631,220,439,41,5,2462.55,2025-08-21
632,966,354,36,1,390.33,2025-08-20
633,585,475,74,9,2388.69,2025-04-29
634,472,183,20,3,195.77,2025-01-15
635,911,299,32,3,441.58,2025-09-22
636,308,48,74,4,571.99,2024-10-17
637,223,376,10,7,2052.06,2024-12-10
638,178,250,89,6,2403.56,2026-03-29
639,98,305,83,10,4133.67,2025-05-24
640,828,296,49,5,189.69,2026-02-14
641,944,395,43,2,788.92,2025-12-03
642,445,214,16,6,2653.8,2025-01-10
643,870,309,2,4,1515.54,2026-06-17
644,537,22,41,7,321.87,2025-08-08
645,335,258,90,9,2620.42,2025-09-25
646,690,375,51,4,374.14,2025-05-07
647,590,259,12,8,3050.91,2024-08-21
648,806,202,19,4,909.32,2025-02-02
